2005,60.584,53.115,49.679,47.787,44.909,53.731,48.649,52.312,62.443,45.971,46.005,60.395,72.062,29.49,92.154,38.134,91.702,53.078,53.526,51.211
2006,72.222,69.206,51.424,50.876,44.452,55.888,50.828,49.486,61.355,68.004,47.86,69.783,64.985,40.438,68.584,37.401,87.006,52.806,65.44,50.151
2007,70.21,58.58,52.672,53.486,61.565,60.787,47.643,46.492,61.129,58.96,50.19,76.453,67.749,42.277,50.255,41.034,83.247,51.925,69.638,49.338
2008,55.598,80.034,47.875,55.363,54.244,66.049,51.903,52.319,58.14,58.863,48.128,74.828,47.581,39.005,41.245,38.947,78.947,51.414,74.828,47.886
2009,43.328,63.939,48.378,60.34,57.06,67.757,53.613,57.658,56.424,63.677,59.211,73.1,37.584,41.467,36.856,38.812,84.094,53.281,76.925,46.661
2010,59.352,47.914,49.936,59.307,62.233,69.227,70.873,56.494,28.065,63.099,57.862,69.72,42.167,42.209,38.329,37.913,51.963,56.267,80.981,45.646
2011,46.06,56.513,51.495,58.893,49.686,66.059,76.524,60.269,44.879,59.939,71.946,62.168,48.777,51.069,42.227,38.478,47.434,57.223,73.692,40.5
2012,52.391,37.185,50.774,58.577,48.357,70.102,74.495,50.336,47.546,59.927,71.968,56.896,45.025,60.479,41.517,53.783,43.822,62.488,70.192,38.481
2013,42.801,34.341,49.959,59.99,58.209,76.819,73.629,61.911,46.702,60.048,64.46,57.876,51.436,68.648,45.895,49.642,42.9,69.392,70.462,37.754
2014,39.2,35.229,50.205,60.588,57.038,74.782,72.383,65.375,47.712,69.34,61.517,52.892,64.743,76.067,50.797,53.559,42.167,72.409,69.847,35.802
2015,49.227,31.286,42.036,55.458,57.029,70.821,56.573,70.366,49.77,63.129,48.24,47.084,55.43,76.857,49.82,49.733,25.702,67.01,65.493,32.504
2016,50.036,32.928,40.412,57.202,56.924,65.26,55.702,65.888,48.628,63.458,48.865,45.943,55.817,81.977,47.213,48.237,23.093,65.074,62.904,33.729
2017,50.813,29.675,40.823,57.726,57.018,63.206,55.628,59.301,42.798,63.184,47.514,44.565,57.523,84.517,46.219,44.607,21.706,63.487,61.962,33.008
2018,49.643,20.68,44.07,55.511,56.297,59.874,52.731,56.752,37.287,60.504,45.22,40.307,57.647,85.511,41.721,48.225,17.661,60.493,59.024,44.397
2019,45.592,14.279,50.849,50.805,54.461,54.566,48.765,56.941,33.818,54.785,41.667,32.388,57.144,84.86,27.641,58.134,10.632,54.977,53.455,54.275
2020,36.924,27.812,61.787,45.88,51.261,46.764,49.567,60.941,37.398,45.88,36.734,18.296,58.663,83.472,8.1135,77.871,0.01,45.88,45.772,18.296
