6587,648.72,453,5430.8,1207.6,1771.8,384.63,2748,13200,1487,3217.8,11309,1042.4,226.98,470.5,4167.2,572.21,56108,5188,61535
4627,477.14,389.5,4610.8,839.15,1318.5,253.76,5163,14426,577,650.48,7655,832.53,153,598.18,2607.9,741.7,54519,4498,66791
4372,368.64,281,3310.1,787.5,710.68,256.81,4350,11037,633,1284,8906,520.18,116.86,395.06,1805.4,288.1,37833,3030,62477
8657,661.08,693.4,6054,1599.2,2623.6,392.49,10432,30322,1438,2117,12665,1468.7,295.7,1268.1,4095.1,3113.1,1.0325e+05,15099,63688
3840,272.07,192.7,2142.3,520.15,404.91,214.02,2938,8084.5,391,555.46,7263,317.37,61.98,209.41,1003.8,103.07,25179,2829,49486
10549,767.63,462,3896.4,919.17,842.92,631.32,5081,12500,892,6281.2,18094,644.77,129.07,333.23,2166.1,316.47,27692,4455,63070
6591,461.34,265.6,2416.7,635.07,468.46,431.98,2799,8841,735,2944.7,10525,422.42,82.8,204.36,1128.1,100.12,22709,2937,47279
5787,508.51,285,2197.3,440.21,440.55,361.94,2709,9456.4,634,2385.8,9457,382.88,75.29,232.3,903.6,108.93,26933,2439,42789
11765,1023.5,480.9,3671.6,738.03,732.59,893.65,2861,11391,413,1321,16428,751.01,107.65,332.47,2099.2,59.88,14014,3023,27554
7615,526.52,251.1,1716.6,337.64,345.67,507.39,1649,4865,301,583.31,11914,366.52,68.18,157.51,739.4,80.3,10090,2485,20757
10030,560.25,281.9,1795.7,614.53,463.51,535.56,2474,5643.8,611,1226,13071,375.99,58.57,151.53,864.8,41.06,15101,2368,21527
16931,828.54,445.5,2751.3,624.52,595.86,1035.8,3002,7238,751,1286.6,19256,569.8,91.98,278.55,1312.7,75.17,19944,2831,28554
8524,580.74,279.2,1559.2,584.12,303.48,463.16,2517,3368.8,357,739.53,10977,375.7,55.29,146.38,564.8,37.55,8785,1132,16790
6587,643.09,452.4,5093.8,1222,1591.6,351.31,2601,12647,1687,3065.4,11131,992.27,214.95,462.67,3531.7,557.57,54784,15053,59641
4627,472.23,389.2,3973.5,909.44,1228.3,241.43,5255,14891,592,644.06,7655,815.16,143.74,606.4,2760,703.71,80271,3921,63029
4372,365.91,280.9,2850.1,875.98,670.15,240.11,3887,10068,648,1158.5,8847,523.07,107.76,390.98,1607.6,292.15,41705,2849,58680
8488,653.84,695.2,5822.1,1875,2405.8,369.82,10476,30393,1481,1974.8,12608,1474.5,273.42,1263.2,3662.2,3093.5,1.4108e+05,13539,60578
3847,271.75,192.1,1753.2,592.21,368.86,196.14,2470,7197.3,401,458.51,7201,318.43,59.83,212.2,872.13,99.5,28255,2559,46613
8001,766.51,467.2,3298.7,1035.3,739.64,594.78,4964,11352,944,5339.8,17995,641.87,121.76,326.15,1940.4,298.14,40771,5284,56596
6951,459.84,265.7,2025.2,699.49,418.54,403.93,2589,8499.4,758,2625.7,10415,430.23,77.24,197.38,1106.9,95.07,22825,3270,43200
5787,507.8,284.2,1764.2,491.41,422.68,344.59,2541,8501.6,687,2009.2,9335,380,73.73,222.55,837.09,104.41,25626,2177,38541
11259,1006.9,478.7,3090.1,856.82,659.95,802.94,2874,10523,443,1089.7,16332,727.18,102.92,336.42,1495.9,62.89,23472,2994,24325
7615,520.18,250.2,1350.1,489.64,297.43,474.24,1419,4130.6,304,555.13,11771,352.5,63.59,134.94,655.57,66.41,9396,2977,18589
