,0
0,1324.6
1,1321.6628169164062
2,1321.6628169164062
3,1320.7145610898733
4,1318.818273895979
5,1307.893761856854
6,1305.4504536338152
7,1311.9334657922388
8,1311.9334657922388
9,1311.9334657922388
10,1310.88602706939
11,1323.1601139046252
12,1336.1423974826932
13,1335.6928478486836
14,1337.541100779921
15,1337.541100779921
16,1337.541100779921
17,1324.058581881225
18,1319.5667891174555
19,1315.175946865976
20,1319.5667891174555
21,1310.3873068481685
22,1310.3873068481685
23,1310.3873068481685
24,1280.4906358718872
25,1266.658493756503
26,1251.8463909566403
27,1256.06966040805
28,1256.815089315921
29,1256.815089315921
30,1256.815089315921
31,1250.803202929348
32,1253.8336542584002
33,1258.3557490102946
34,1249.1144001819193
35,1252.144458707422
36,1252.144458707422
37,1252.144458707422
38,1255.5230462111533
39,1266.3103716105225
40,1268.8966182395816
41,1263.326860305667
42,1262.82966921255
43,1262.82966921255
44,1262.82966921255
45,1266.658493756503
46,1267.7526480443776
47,1263.5257451601328
48,1270.2396416336298
49,1269.244782471657
50,1269.244782471657
51,1269.244782471657
52,1285.618784414977
53,1300.864023271948
54,1298.1228016138077
55,1299.9170019708574
56,1280.2417387083174
57,1280.2417387083174
58,1280.2417387083174
59,1279.5448490962387
60,1278.5991464927793
61,1264.7688281081619
62,1233.925416404754
63,1211.2778227098286
64,1211.2778227098286
65,1211.2778227098286
66,1224.503995206207
67,1226.7346704505385
68,1224.3057276144625
69,1208.7038511916996
70,1211.921417297423
71,1211.921417297423
72,1211.921417297423
73,1209.9412525169553
74,1183.347196629271
75,1184.0876243062319
76,1185.6674100399018
77,1184.9762160792948
78,1184.9762160792948
79,1184.9762160792948
80,1184.5319096712396
81,1176.1930866204202
82,1160.181154856272
83,1171.6571455433966
84,1160.525685655512
85,1160.525685655512
86,1160.525685655512
87,1170.6714190639557
88,1175.7492396522314
89,1169.2423225920647
90,1161.9039035461844
91,1154.5235983146356
92,1154.5235983146356
93,1154.5235983146356
94,1156.93366904445
95,1160.5748913144694
96,1125.9163225263358
97,1130.4708603964189
98,1135.0289124554024
99,1135.0289124554024
100,1135.0289124554024
101,1124.6925956746563
102,1132.4798909770325
103,1130.2258877611719
104,1130.2258877611719
105,1133.4111475285142
106,1133.4111475285142
107,1133.4111475285142
108,1133.4111475285142
109,1133.4111475285142
110,1144.4989062679
111,1144.4989062679
112,1149.5093926119619
113,1149.5093926119619
114,1149.5093926119619
115,1149.5093926119619
116,1162.5438892511652
117,1174.8123119994998
118,1173.974100788869
119,1176.5876367431135
120,1176.5876367431135
121,1176.5876367431135
122,1187.4450004182756
123,1176.6369546316564
124,1202.8158873107284
125,1188.2845478624106
126,1200.7880740568041
127,1200.7880740568041
128,1200.7880740568041
129,1213.7038756340742
130,1212.416504085809
131,1193.9164669580757
132,1198.3651355035604
133,1210.5352696850896
134,1210.5352696850896
135,1210.5352696850896
136,1214.4466531179846
137,1192.8787501230836
138,1187.6425385177135
139,1182.8536214331166
140,1190.7048490203917
141,1190.7048490203917
142,1190.7048490203917
143,1210.4857624091208
144,1201.4309952668846
145,1219.5484838232398
146,1212.8621186699718
147,1224.3057276144625
148,1224.3057276144625
149,1224.3057276144625
150,1228.5195417232812
151,1239.5322521880269
152,1234.2726547427476
153,1225.8423470437526
154,1219.8457379095257
155,1219.8457379095257
156,1219.8457379095257
157,1228.2716265685856
158,1221.976416593045
159,1237.9938230566681
160,1239.3833656139673
161,1234.7687515974046
162,1234.7687515974046
163,1234.7687515974046
164,1230.7014391839505
165,1234.1238383121788
166,1245.2906119406223
167,1251.0019054107368
168,1254.529253230244
169,1254.529253230244
170,1254.529253230244
171,1252.9393387764692
172,1237.8449645400049
173,1235.5625374279916
174,1224.057896631956
175,1228.4699643038214
176,1228.4699643038214
177,1228.4699643038214
178,1214.2980962183326
179,1206.9222486056387
180,1204.2999201647938
181,1200.441887871176
182,1201.9750281833112
183,1201.9750281833112
184,1201.9750281833112
185,1202.3707216449081
186,1196.634849895537
187,1226.883416737616
188,1227.131289806217
189,1229.907976013422
190,1229.907976013422
191,1229.907976013422
192,1239.0359589315951
193,1246.432646175474
194,1244.8933893509209
195,1244.8933893509209
196,1254.8770667448641
197,1254.8770667448641
198,1254.8770667448641
199,1254.5789428792893
200,1248.4687433756887
201,1246.184366274625
202,1242.2621667154133
203,1244.6451375074685
204,1244.6451375074685
205,1244.6451375074685
206,1254.9764460429549
207,1243.2053581818939
208,1249.859436286241
209,1263.7246300145985
210,1247.4258359223604
211,1247.4258359223604
212,1247.4258359223604
213,1250.2567991629244
214,1271.5330455221238
215,1281.3369030624629
216,1276.1604677401483
217,1276.1604677401483
218,1276.1604677401483
219,1276.1604677401483
220,1276.1604677401483
221,1276.2599732965232
222,1279.2959519326687
223,1279.0471108838917
224,1266.658493756503
225,1266.658493756503
226,1266.658493756503
227,1265.0671624042095
228,1259.1510078541935
229,1260.095433846116
230,1263.7246300145985
231,1252.7902978867294
232,1252.7902978867294
233,1252.7902978867294
234,1252.7902978867294
235,1247.6741298519075
236,1225.9910793021322
237,1225.59448800385
238,1227.3296135127546
239,1227.3296135127546
240,1227.3296135127546
241,1218.0127341732384
242,1220.539400921017
243,1220.7375983692707
244,1228.7674849353732
245,1230.8006220802665
246,1230.8006220802665
247,1230.8006220802665
248,1231.693338290602
249,1254.7279977977275
250,1253.2374345846474
251,1249.3627502262593
252,1256.169053734839
253,1256.169053734839
254,1256.169053734839
255,1257.510842603445
256,1249.9091119065881
257,1254.2808190137148
258,1262.3325061768294
259,1259.9960264906288
260,1259.9960264906288
261,1259.9960264906288
262,1259.9960264906288
263,1263.4760134249927
264,1262.1336213223638
265,1272.1798105955124
266,1277.1557898491621
267,1277.1557898491621
268,1277.1557898491621
269,1290.6490547306837
270,1288.158624110371
271,1270.3391191326082
272,1263.8240654274823
273,1263.6749123081565
274,1263.6749123081565
275,1263.6749123081565
276,1259.3001329161227
277,1272.7270701125265
278,1251.8960665769876
279,1252.740622266382
280,1245.538863784075
281,1245.538863784075
