,0
0,621.65
1,717.4340966168287
2,706.3312571108229
3,707.4896097375781
4,705.5436928218513
5,706.9893800009631
6,705.812575988738
7,703.894477001487
8,708.1012168257989
9,706.8133875876448
10,705.3953774867379
11,696.3345852062546
12,694.9821761189556
13,691.8881182211039
14,700.9664815728648
15,698.9839435867397
16,696.4271942592814
17,702.8937358277155
18,702.6249230859643
19,700.93880449466
20,706.0718813372127
21,711.1038276853577
22,709.3987647326358
23,708.3513316941064
24,706.285128647148
25,704.024164888292
26,708.5643677286355
27,713.3186981931065
28,711.0295995926656
29,711.8730110139946
30,713.6248010440423
31,711.0574527337089
32,729.8200820894858
33,730.7008892577024
34,728.9022313000585
35,732.5368725370987
36,735.7642100036599
37,733.4921190734136
38,731.0068160457998
39,724.4793215226929
40,723.0609240835414
41,726.9547650313533
42,748.8058182741513
43,746.736974284616
44,745.0116288929042
45,748.6481716085997
46,745.0671943247202
47,773.622368330162
48,778.6917808503299
49,777.0482342533637
50,788.2753389107502
51,791.9905817152346
52,787.3557979180737
53,821.1038044934395
54,777.2896164048839
55,774.9870313910174
56,794.5822971224098
57,801.2804669611139
58,799.3850448674557
59,798.465292599373
60,809.5783085374414
61,810.107975980646
62,804.4861486985453
63,793.5790206437648
64,792.2505561024955
65,796.1334811543232
66,800.2676830891922
67,801.0296478414526
68,824.4784361306512
69,834.2974606312196
70,835.6551868162398
71,817.1344325879309
72,825.9379618488655
73,824.4876970359538
74,828.8203217897603
75,824.9339459062988
76,823.2512429340605
77,821.4198020758964
78,816.1119652598943
79,815.5080345114301
80,820.5273747603418
81,829.8058511342894
82,829.2109348031539
83,857.4700063268841
84,849.9334604640308
85,848.6680968440633
86,840.909958292732
87,842.7611181888029
88,844.9656714142184
89,854.9483287168457
90,855.2273531032273
91,854.3528489846273
92,861.7229802525741
93,861.7229802525741
94,862.6441410233643
95,859.7592809901635
96,861.4902603927059
97,860.6805473986568
98,872.6134527628369
99,872.3338649753723
100,872.5854235589551
101,876.7002585815942
102,905.6858005893524
103,915.7130017901086
104,977.5957091001208
105,968.5411142315511
106,969.4651976454597
107,973.8803606579334
108,1004.7355843723678
109,1004.7079072941629
110,1035.588448844767
111,1025.089575299793
112,1030.6706264285078
113,1067.711078508095
114,1084.7938571096165
115,1082.4064802327507
116,1188.660262389348
117,1064.856959046488
118,1069.5173071677925
119,973.4135828606246
120,983.9725642586466
121,986.1671523274056
122,982.0212246074955
123,869.3736148347455
124,865.3712135407429
125,907.6239355276196
126,899.8161472558443
127,901.3439853553787
128,911.5471437568855
129,979.9580498413585
130,982.5347999072652
131,972.45101211023
132,970.4181905774424
133,972.3027672002519
134,993.7444039185094
135,996.9854390739023
136,995.020577796758
137,969.8810580698876
138,991.271918265535
139,990.4256194136552
140,995.3404135490931
141,991.2501921112698
142,987.7546053040404
143,1036.8286354788356
144,1050.854963204799
145,1054.3311478872308
146,1082.0384384752467
147,1098.867651376827
148,1101.7434617801314
149,1092.3254380004255
150,1116.7704250421632
151,1119.328618084897
152,1047.4868106800425
153,1069.0058446220844
154,1067.5894542992912
155,1070.4107556478102
156,1069.730307989754
157,1070.9679593189487
158,1081.3822522763296
159,1102.80966311724
160,1102.8019515649157
161,1122.8870593254544
162,1119.2717145755087
163,1117.4826344362766
164,1185.870722776886
165,1185.3402806571924
166,1191.7112905294814
167,1233.8466490282447
168,1211.0521454593081
169,1210.8306584085333
170,1248.7795243094067
171,1245.7835686251415
172,1248.9093178339149
173,1313.3850786286748
174,1337.6219593953601
175,1339.3747001647355
176,1324.237451140696
177,1328.254289587452
178,1332.3078195297414
179,1217.4282259413449
180,1250.3940909631635
181,1250.0375989278623
182,1237.882220561012
183,1283.339955246534
184,1283.5145391571446
185,1300.1652243405326
186,1311.4909946125888
187,1311.1147131142452
188,1155.265719568462
189,1025.166585185333
190,1039.6186328546776
191,1115.809650132721
192,1181.0288890817033
193,1175.7450672368664
194,1106.1639418903264
195,1015.5278138187734
196,1002.4563100783126
197,1029.4237141940102
198,1104.7027963939984
199,1108.2725408687845
200,1107.8374191698297
201,1105.3353549599951
202,1102.3711257992193
203,1151.2868050571092
204,1162.7675106270044
205,1144.7789591467736
206,1202.5942979753938
207,1194.5928053687517
208,1195.01613085753
209,1248.49951397113
210,1239.752712156745
211,1242.4599952110816
212,1264.7594805034214
213,1282.5142205341856
214,1275.4317759442722
215,1238.6940110965547
216,1243.616516784317
217,1229.611633512077
218,1245.1837577470972
219,1262.7749706135055
220,1235.8239051292162
221,1274.3406793218064
222,1296.6968568481282
223,1291.9374557739097
224,1315.17472216899
225,1312.0452404280413
226,1295.900137291557
227,1332.227464450271
228,1360.2149062268347
229,1340.3360736878285
230,1381.1362420448936
231,1384.6120041765132
232,1382.7451746878198
