State,截距,GDP,coal,natural_gas,petroleum,mining,construction,manufacturing
Alabama,1.6397190982249867,-0.07100491035646428,0.46899589887348725,0.17940848001225262,0.38413928513252316,-0.022715608937183163,-0.004266814050824408,0.05827003310776213
Alaska,0.08726107186646459,0.03555775534696437,0.04074319386182257,0.535474488887127,0.48212060892519837,0.003319947567000936,-0.003187967952348769,0.0029016592339226044
Arizona,0.9445192783608718,0.03834310264974761,0.41377320248990124,0.1669592677403342,0.2910914176598922,-0.0010553831906827682,0.013278538388682204,-0.013432882448322303
Arkansas,0.14615446397505139,0.07915330561352718,0.41093476310165755,0.2095986760221784,0.3592111973057399,-0.0009217857443859501,-0.0033263922060946527,-0.016858278143956795
California,0.709110642186559,0.0005923923511348406,0.0170392761627709,0.36020825880569873,0.6233821010427683,0.0016860107195898477,0.008101353045481652,-0.006288800084655044
Colorado,1.337757330399441,-0.019947104708656127,0.39371417863632363,0.2399330927214134,0.36834534711012346,0.0007277606314750051,-4.103426563706325e-05,0.005125815084336516
Connecticut,2.209734552945804,-0.1049759338451679,0.0309829504509489,0.18717962138362298,0.6815243742344494,0.034791047610839065,0.0007753487796566816,0.025466240735754653
Delaware,1.8467936328488435,-0.13781172526535457,0.15953286117928966,0.2694987157180442,0.6328122143260926,0.0026794412623585007,0.09722769164848766,0.05965263322412451
District of Columbia,3.934575206866583,-0.19905269450028662,0.0105601990823887,0.5085777032905874,0.478642868605331,-0.0035671522827967483,0.007714401977985563,0.011355979048934872
Florida,1.5605173088596302,-0.009629848861635537,0.15895431694271167,0.16574487206967348,0.5648244271009837,0.003101269549001806,-0.015026755953893911,0.016443510646724002
Georgia,1.5324880738233304,-0.022667488277416936,0.34756052911592233,0.13928919375338533,0.3918278099861041,-0.003377611620468457,0.05555179461169768,-0.014275190305951924
Hawaii,1.498859264897284,-0.08002868421760478,0.02321514499898547,-0.0005323344748358327,0.9316158383443849,0.005822545999435436,0.0017688507735849068,-0.0022510695589301744
Idaho,0.41383982426152954,0.04170732884901662,0.04137459305674196,0.29604809446101843,0.6800279537521696,0.0022009563958967915,-0.021632260446965534,-0.0161681453396878
Illinois,0.4537715208815598,0.06746674239702344,0.39312681229893975,0.2193853713343774,0.3667732024870354,0.004448500498833496,-0.005166046252575995,-0.026332247008847176
Indiana,1.4134316687458295,-0.04937817734411354,0.555681541123807,0.09717881591323696,0.2641983994230088,-0.018392885273749826,0.023090788449920296,0.04937819787430886
Iowa,0.6167695682930798,0.030908055299248005,0.4983410713956413,0.15220392911702385,0.3432632107727507,-0.017985673993310858,0.036207309213262207,-0.025329246384275805
Kansas,0.23796264681107004,0.09243636962507651,0.44460006119048434,0.20311371675637702,0.31767093607333585,0.0008333106795413436,-0.038452587943409,-0.01604454060221716
Kentucky,0.2908144357332958,0.05158653202310148,0.6202715571850486,0.08175892580367927,0.28025657755349087,-0.0011925005562054558,0.0022285149718630493,-0.01359469585220019
Louisiana,1.2145882900912994,-0.016332340365172726,0.09525276140334848,0.3555122338524792,0.5419330510374856,-0.0012136202497550208,-0.005873074708434789,0.007114885557343964
Maine,3.2308430874582044,-0.018528717434877606,0.02595799655033315,0.08409668672345647,0.5791083242059383,-0.048498251773451684,0.03800382504911015,-0.20324193408597147
Maryland,0.9171779498230705,-3.356766005957468e-05,0.3414242473712833,0.1526563379824779,0.5128210128207487,0.001213043861035601,0.012528626821856403,-0.00481193365154442
Massachusetts,2.0733927276969553,-0.0863195173720186,0.0726393323802097,0.21348722166756406,0.6061695509214289,0.009945304075785089,0.013897709108060319,0.028703623858026717
Michigan,0.6139441637448044,0.0592190202812759,0.35884419710859494,0.22945333015182356,0.3739288434906243,-0.0031332157507826253,-0.0014722508570574888,-0.020278812675305957
Minnesota,1.2152186434227588,-0.016710395394724742,0.31894835132428767,0.20314567613099932,0.4505685780335398,0.0014960178670238022,0.006510139331322051,0.012660833237234215
Mississippi,-0.4933719378705632,0.09413779757377583,0.1556688519753635,0.3141766226558067,0.6559152403021002,0.013272184178137802,-0.00881590204090088,-0.034759253072522256
Missouri,-2.278578698476423,0.24386376755989936,0.5238834313005225,0.11681332476072548,0.3770443258462315,0.002734818049026977,-0.03343635671028533,-0.02447959046323156
Montana,-0.0688032723517722,0.07883722972684915,0.5518879923588234,0.0687828440178393,0.3403576954632097,0.006369535927660763,-0.005106833263170962,-0.016677104033089307
Nebraska,1.7715229474599852,-0.062359961166468025,0.4781711198218199,0.15415613222163593,0.3662127743714727,0.010052284691560054,0.0016904928377712292,0.016872206029406644
Nevada,-3.0318599131804547,0.3913106761759515,0.1579926240289149,0.2943930668548198,0.2555783904955238,-0.06069380809156685,-0.03672777316460829,-0.03457695222222945
New Hampshire,1.5719988614394573,-0.07672278608949856,0.12147840609195995,0.11736011116293271,0.6760562805428139,0.005502792839554127,0.030202018121841867,0.037125120806009715
New Jersey,3.599875172983616,-0.23398629469461696,0.039559626538398174,0.28737109568466224,0.6811876751358721,0.00011898043346381115,0.0705671140165709,0.009299840836643813
New Mexico,0.4814290372709138,0.040862460992602934,0.46115876582234705,0.23050472345021156,0.29472900371989885,-0.00491125174533491,0.007387387158433789,-0.0008842865868898819
New York,3.2065678679003327,-0.16386809870197894,0.04485025645444263,0.33845319963081355,0.6252370680150356,-0.013532785556907623,0.015401052549185223,0.008278785882043671
North Carolina,0.9608932830035428,-0.0054023321067901975,0.36155474156062617,0.1160430206498484,0.5673649225563384,0.0011460483262268895,0.002920325478746655,-0.007864750450268687
North Dakota,1.0241808388645026,-0.04526564451564141,0.7797103617618175,0.04075938776126353,0.23812533950691828,-0.007351607404288085,0.03408765006406078,0.00023494533376944293
Ohio,1.4617824981570777,-0.02608195094398269,0.43573484786501826,0.18468872241348144,0.4209788239623933,0.005366995285358556,-0.015871292125062553,-0.00536438029282138
Oklahoma,1.1211207488907462,0.0010499954600646788,0.29520175528321335,0.32161342196271114,0.37562502215626026,-0.004079975803422897,0.0068340335431573696,-0.0015684248854270777
Oregon,1.4478710090280629,0.009610075675859697,0.07588971337047035,0.29104989863676245,0.510514989207751,0.01819436604732616,0.007454532790107216,-0.04902058327997327
Pennsylvania,2.306187097385134,-0.1153656857552221,0.3908071109480109,0.21116981028341675,0.3963908777795204,-0.013765356563874676,0.04506792673726778,0.021430533245357708
Rhode Island,3.7440866281146867,-0.23603298024056052,-0.0004724560492043173,0.41687319692824976,0.48551225230556705,0.0002773148981935203,0.07516105443826726,0.0213627687561133
South Carolina,-0.29384260006349905,0.09155402768550402,0.38451267628928854,0.10331453589987616,0.43926083292354523,0.010993031985279789,-0.005527875588910991,0.013126192347709065
South Dakota,2.718619527521507,-0.10098482948240384,0.20456009375469408,0.23668615873176835,0.3726958785174701,-0.022632777324159026,0.015926961575030818,0.02716460869314763
Tennessee,1.861573291031064,-0.11243872954167777,0.4695145775357328,0.1498818959109549,0.3938857115164467,-0.009445768216824302,0.033850991611300785,0.054858251879148945
Texas,1.2975960217569877,-0.015143970232450954,0.24634039306257094,0.3110570517807103,0.43057875957560476,-0.003991802721830862,0.012149895467846505,0.00016271689884472806
Utah,1.6072006704789317,-0.039460035459388365,0.5139594180047684,0.1219622007134058,0.26265899885313004,0.0036718942167510704,0.01925417880665048,0.010173996445309141
Vermont,-0.30567371029245294,0.05755613635555723,0.01136271333705613,0.04832662432956525,0.9058758276813286,-0.0016611475583578894,-0.009632830940292436,-0.018372841289049813
Virginia,1.316183529876355,-0.018509292757013185,0.26136317034391787,0.14268402652511014,0.5340660946077289,-0.02549461881231352,0.02629474442093027,0.011926182318497958
Washington,0.8965718948970647,-0.002081460860141604,0.10261418310881099,0.16550378075340344,0.6883045526989058,-0.006201255808323314,0.007430043671413422,0.005227396590451239
West Virginia,0.1844235122539999,0.037502178821309684,0.7983334414512262,0.07014848535192009,0.12530485869322305,-0.0005691277915644832,0.001817637833170238,-0.010666261257682663
Wisconsin,1.283817806449406,-0.02542422949635892,0.40766072387332053,0.20099477069938132,0.3707074212165189,-0.0011510911910281862,0.014756382724506523,0.011530254454168443
Wyoming,0.09981325744075953,0.03803731897466989,0.7755507654126408,0.11390241505158982,0.16123837727223211,0.0013814842997878496,-0.01416891045342794,-0.0011163615692244555
