,State,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
15,.Iowa,3131371,3142531.465309,3153731.7074396904,3164971.8681599544,3176252.0897429483,3187572.5149689005,3198933.287126921,3210334.5500168134,3221776.4479508963,3233259.125755829,3244782.7287744447,3256347.402867591,3267953.2944159755,3279600.5503220186,3291289.318011713,3303019.7454364905,3314791.981075093,3326606.173935454,3338462.4735565824,3350361.030010457,3362301.9939039266,3374285.5163806137,3386311.74912283,3398380.8443534956,3410492.9548380654,3422648.233886463,3434846.835355021,3447088.9136484293,3459374.6237216885,3471704.121082072,3484077.5617910936,3496495.102466483,3508956.9002841692,3521463.112980269,3534013.898853083,3546609.4167651013,3559249.826145012,3571935.2869897205,3584665.9598663747,3597442.005914397,3610263.586847524,3623130.8649558537,3636044.003107899,3649003.164752649,3662008.5139216403
16,.Kansas,2910844,2915990.6959374007,2921146.491805637,2926311.403694398,2931485.4477218217,2936668.6400345457,2941860.996807756,2947062.5342452372,2952273.2685794253,2957493.2160714567,2962722.393011219,2967960.815717402,2973208.5005375496,2978465.463848109,2983731.7220544834,2989007.2915910822,2994292.188921373,2999586.4305379326,3004890.0329624983,3010203.0127460193,3015525.38646871,3020857.170740099,3026198.3821990835,3031549.0375139792,3036909.153382574,3042278.7465321794,3047657.8337196815,3053046.4317315957,3058444.5573841175,3063852.227523175,3069269.459024482,3074696.26879359,3080132.673765942,3085578.6909069247,3091034.337211921,3096499.629706364,3101974.5854457896,3107459.2215158897,3112953.5550325653,3118457.6031419807,3123971.383020616,3129494.9118753225,3135028.206943373,3140571.28549252,3146124.164821045
17,.Kentucky,4438182,4448626.519975529,4459095.61938415,4469589.356069453,4480107.788011153,4490650.973325412,4501218.970265156,4511811.8372204015,4522429.632718576,4533072.4154248405,4543740.244142416,4554433.177812906,4565151.275516624,4575894.596472917,4586663.200040499,4597457.145717771,4608276.493143155,4619121.302095423,4629991.632494026,4640887.544399423,4651809.098013417,4662756.353679487,4673729.3718831185,4684728.213252141,4695752.93855706,4706803.608711396,4717880.284772017,4728983.02793948,4740111.899558366,4751266.961117622,4762448.274250898,4773655.900736886,4784889.902499668,4796150.341609052,4807437.280280918,4818750.7808775585,4830090.905908027,4841457.71802848,4852851.280042527,4864271.654901574,4875718.9057051735,4887193.095701371,4898694.288287057,4910222.547008313,4921777.93556077
18,.Louisiana,4678135,4693729.901109118,4709376.78894812,4725075.836818526,4740827.21859957,4756631.108750126,4772487.68231064,4788397.114905064,4804359.582742809,4820375.262620691,4836444.331924892,4852566.9686329225,4868743.351315594,4884973.659138999,4901258.071866489,4917596.769860674,4933989.934085412,4950437.7461078195,4966940.3881002795,4983498.042842459,5000110.893723336,5016779.124743227,5033502.920515828,5050282.466270258,5067117.94785311,5084009.551730511,5100957.464990186,5117961.875343529,5135022.971127685,5152140.941307636,5169315.97547829,5186548.263866583,5203837.997333587,5221185.367376625,5238590.566131387,5256053.786374064,5273575.221523479,5291155.0656432295,5308793.513443841,5326490.760284917,5344247.002177311,5362062.435785288,5379937.2584287105,5397871.668085219,5415865.86339243
19,.Maine,1331317,1332037.1320510898,1332757.653633877,1333478.564959066,1334199.8662374753,1334921.557680037,1335643.639497798,1336366.1119019184,1337088.9751036733,1337812.2293144516,1338535.8747457569,1339259.911609207,1339984.3401165341,1340709.1604795854,1341434.372910322,1342159.97762082,1342885.9748232705,1343612.3647299786,1344339.1475533652,1345066.3235059653,1345793.8928004294,1346521.8556495227,1347250.2122661257,1347978.9628632339,1348708.107653958,1349437.6468515242,1350167.5806692739,1350897.9093206634,1351628.6330192655,1352359.7519787678,1353091.2664129736,1353823.176535802,1354555.4825612877,1355288.184703581,1356021.2831769485,1356754.7781957723,1357488.6699745506,1358222.9587278976,1358957.6446705437,1359692.7280173353,1360428.208983235,1361164.087783322,1361900.3646327914,1362637.0397469548,1363374.1133412407
20,.Maryland,6003323,6026878.756526972,6050526.940808633,6074267.915511739,6098102.044726076,6122029.693970036,6146051.230196232,6170167.021797118,6194377.43861064,6218682.851925913,6243083.634488909,6267580.160508173,6292172.805660568,6316861.947097032,6341647.963448362,6366531.234831022,6391512.14285297,6416591.070619514,6441768.402739185,6467044.5253296355,6492419.826023561,6517894.693974644,6543469.5198635245,6569144.695903789,6594920.615847987,6620797.674993668,6646776.270189445,6672856.79984108,6699039.663917594,6725325.263957401,6751714.003074466,6778206.285964488,6804802.518911104,6831503.109792121,6858308.468085772,6885219.004876996,6912235.132863741,6939357.266363292,6966585.821318628,6993921.215304799,7021363.86753533,7048914.198868651,7076572.63181455,7104339.590540652,7132215.500878928
21,.Massachusetts,6823608,6856215.544744794,6888978.909105,6921898.837685977,6954976.078651282,6988211.383739674,7021605.5082821995,7055159.211219355,7088873.255118343,7122748.406190393,7156785.434308181,7190985.113023326,7225348.219583969,7259875.534952437,7294567.843822992,7329425.934639668,7364450.5996141825,7399642.634743948,7435002.839830156,7470532.018495964,7506230.978204746,7542100.530278454,7578141.489916051,7614354.676212043,7650740.912175086,7687301.024746701,7724035.844820059,7760946.207258869,7798032.950916349,7835296.918654294,7872738.957362227,7910359.917976651,7948160.655500385,7986142.029021994,8024304.901735317,8062650.140959083,8101178.618156622,8139891.20895567,8178788.793168271,8217872.254810771,8257142.482123909,8296600.3675930025,8336246.807968236,8376082.704285033,8416108.961884541
22,.Michigan,9950571,9961294.026419586,9972028.60828615,9982774.75805218,9993532.488183582,10004301.811159698,10015082.739473317,10025875.285630688,10036679.462151542,10047495.281569097,10058322.75643008,10069161.899294738,10080012.722736852,10090875.239343755,10101749.461716343,10112635.402469091,10123533.07423007,10134442.489640955,10145363.661357049,10156296.60204729,10167241.324394269,10178197.841094242,10189166.164857153,10200146.308406634,10211138.284480035,10222142.10582843,10233157.785216633,10244185.335423216,10255224.769240519,10266276.099474669,10277339.338945592,10288414.500487031,10299501.596946558,10310600.64118559,10321711.6460794,10332834.624517145,10343969.589401864,10355116.553650502,10366275.530193927,10377446.531976936,10388629.571958283,10399824.663110679,10411031.81842082,10422251.050889395,10433482.373531105
23,.Minnesota,5522744,5552458.030225445,5582331.930905185,5612366.5621905355,5642562.788860684,5672921.480347593,5703443.51076103,5734129.758913737,5764981.108346733,5795998.447354758,5827182.669011842,5858534.671197025,5890055.356620207,5921745.63284814,5953606.412330558,5985638.6124264505,6017843.155430477,6050220.968599519,6082772.98417938,6115500.139431629,6148403.376660584,6181483.643240443,6214741.891642568,6248179.079462899,6281796.169449534,6315594.1295304485,6349573.932841359,6383736.557753747,6418082.987903031,6452614.212216879,6487331.224943696,6522235.025681237,6557326.619405398,6592607.016499149,6628077.232781623,6663738.289537368,6699591.213545754,6735637.037110529,6771876.798089551,6808311.539924664,6844942.311671746,6881770.168030911,6918796.169376879,6956021.3817895055,6993446.877084478
24,.Mississippi,2987938,2988764.0184691907,2989590.265292019,2990416.740531614,2991243.444251121,2992070.3765137037,2992897.5373825436,2993724.9269208387,2994552.5451918044,2995380.392258675,2996208.4681847007,2997036.77303315,2997865.306867309,2998694.069750481,2999523.0617459863,3000352.282917164,3001181.733327369,3002011.413039976,3002841.3221183745,3003671.460625974,3004501.8286261996,3005332.4261824954,3006163.253358322,3006994.3102171584,3007825.5968224998,3008657.1132378606,3009488.859526772,3010320.8357527824,3011153.041979458,3011985.4782703836,3012818.14468916,3013651.0412994064,3014484.1681647594,3015317.5253488733,3016151.1129154204,3016984.9309280897,3017818.979450588,3018653.2585466406,3019487.7682799893,3020322.508714394,3021157.479913633,3021992.6819415004,3022828.1148618096,3023663.778738391,3024499.673635093
