,GeoName,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
10,Georgia,101636.9,106438.52660655745,111466.99620093529,116733.02551422063,122247.83756745163,128023.18559024642,134071.37806941857,140405.30498096294,147038.46526131788,153984.99557645066,161259.70045007943,168878.08381524097,176856.38205644768,185211.59861285318,193961.5402161736,203124.8548405949,212721.0714455457,222770.64159603577,233294.98304926194,244316.52540037368,255858.75788467916,267946.2794381683,280604.85112304246,293861.4510299808,307744.3317741509,322283.080707501,337508.682975658,353453.58755381894,370151.77640237304,387638.83688963845,405952.037636063,425130.40794152825,445214.8209650332,466248.0808340318,488275.01386907167,511342.56411815394,535499.8934044176,560798.4861003709,587292.2588519669,615037.6754863668,644093.867348285,674522.7593213777,706389.2018032528,739761.1089153684,774709.6032423746
11,Hawaii,3452.7,3558.9979641272967,3668.568514108449,3781.5124027495795,3897.9334847243827,4017.938812071045,4141.638732629217,4269.146991507557,4400.580835675144,4536.061121772942,4675.712427244442,4819.663164887673,4968.045700933922,5120.996476761721,5278.656134358046,5441.169645642063,5608.686445770368,5781.360570546269,5959.350798059489,6142.820794686507,6331.939265585803,6526.880109826386,6727.822580292251,6934.951448509797,7148.457174549777,7368.536082159998,7595.39053928982,7829.229144172445,8070.266917136105,8318.725498320524,8574.833351480458,8838.825974063717,9110.94611375684,9391.44399169754,9680.57753255918,9978.612601718822,10285.82324972696,10602.491964303723,10928.909930093252,11265.37729641512,11612.20345325898,11969.707315776255,12338.217617530427,12718.073212775605,13109.623388041327
12,Idaho,8846.9,8948.71130664084,9051.694271394683,9155.862377859557,9261.229264804542,9367.808727955493,9475.614721801318,9584.661361421046,9694.962924331925,9806.533852358774,9919.388753524865,10033.542403964548,10149.009749857902,10265.805909387642,10383.94617471855,10503.446013999683,10624.32107338962,10746.587179105025,10870.260339492776,10995.356747125943,11121.892780923892,11249.885008296778,11379.350187314727,11510.305268901973,11642.767399056249,11776.75392109372,11912.282377919748,12049.370514325796,12188.036279312755,12328.297828441015,12470.173526207578,12613.681948450534,12758.841884781195,12905.672341044232,13054.192541806111,13204.42193287218,13356.380183832707,13510.087190638236,13665.563078204566,13822.828203047713,13981.903155949198,14142.808764652007,14305.566096587572,14470.196461634141,14636.721414906884
13,Illinois,127428.0,127377.07417489136,127326.16870197897,127275.28357312919,127224.41878021164,127173.57431509919,127122.75016966795,127071.9463357973,127021.16280536984,126970.39957027142,126919.65662239112,126868.93395362131,126818.23155585754,126767.54942099864,126716.88754094664,126666.24590760686,126615.62451288782,126565.02334870126,126514.44240696219,126463.88167958881,126413.34115850259,126362.82083562821,126312.32070289357,126261.84075222981,126211.38097557129,126160.94136485558,126110.52191202348,126060.12260901903,126009.74344778947,125959.38442028526,125909.04551846009,125858.72673427082,125808.4280596776,125758.14948664373,125707.89100713575,125657.65261312341,125607.43429657965,125557.23604948065,125507.05786380576,125456.89973153756,125406.76164466183,125356.64359516755,125306.54557504691,125256.46757629528,125206.40959091125
14,Indiana,97970.9,99904.65837508415,101876.58544570146,103887.43458897363,105937.97405224727,108028.98724660378,110161.27304616243,112335.64609329122,114552.93710984198,116813.99321452864,119119.67824657,121470.87309572047,123868.47603881515,126313.40308295755,128806.5883154812,131348.98426081883,133941.56224441555,136585.31276382483,139281.24586712933,142030.391538831,144833.8000933579,147692.542576338,150607.71117379365,153580.4196294124,156611.80367005424,159703.0214396573,162855.25394170827,166069.70549044607,169347.60417097172,172690.20230843962,176098.77694650996,179574.6303352447,183119.09042863388,186733.511391942,190419.27411906855,194177.78676012007,198010.48525939576,201918.83390399162,205904.32588323313,209968.4838591501,214112.86054821138,218339.03931454231,222648.6347748507,227043.29341529316,231524.6942205171
15,Iowa,35064.0,35358.24313020165,35654.95543162366,35954.157624568026,36255.870603213254,36560.11543707349,36866.91337246985,37176.285834014125,37488.25442610491,37802.84093443633,38120.06732751936,38439.955758216,38762.52856528622,39087.808274948,39415.817602450355,39746.57945365964,40080.1169266591,40416.45331336193,40755.61210113778,41097.61697445295,41442.49181652434,41790.260710987335,42140.947943577565,42494.57800382691,42851.175586773636,43210.765594686956,43573.373138806004,43939.02354109344,44307.74233600375,44679.55527226641,45054.488314683964,45432.56764594526,45813.81966845384,46198.271006171715,46585.948506478584,46976.879242046656,47371.09051273125,47768.609847477186,48169.46500624124,48573.6839819307,48981.29500235817,49392.32653221284,49806.80727504823,50224.76617528666,50646.23242024052
16,Kansas,29588.0,29959.229921267,30335.117529922263,30715.721264282754,31101.100295869845,31491.31453860855,31886.424658142212,32286.492081264027,32691.579005466923,33101.748408613246,33517.06405872577,33937.59052390158,34363.393182350264,34794.538232558145,35231.09270357998,35673.12446545981,36120.70223978253,36573.89561035787,37032.77503403844,37497.411851673445,37967.87829919991,38444.24751887299,38926.593570637226,39414.99144364047,39909.517067892266,40410.24732606847,40917.26006546405,41430.63411009578,41950.44927295683,42476.7863684251,43009.727224827206,43549.35469716017,44095.75267997264,44649.006120407794,45209.20103140985,45776.424505096285,46350.76472629784,46932.3109862684,47521.15369656686,48117.38440311321,48721.09580042096,49332.3817460081,49951.33727498891,50578.05861484884,51212.64320040474
17,Kentucky,39501.8,39970.156641702335,40444.06639601793,40923.595103925545,41408.809387053414,41899.7766569351,42396.56512437506,42899.2438089253,43407.88254847433,43922.55200894987,44443.32369413656,44970.2699556101,45503.46400278914,46042.97991310637,46588.89264230024,47141.27803482864,47700.212834406084,48265.774694665844,48838.042189948465,49417.09482621823,50003.01305210903,50595.87827010122,51195.77284783096,51802.780129533705,52416.98444762333,53038.471134408544,53667.32653394825,54303.63801404745,54947.49397839536,55598.9838788475,56258.19822785335,56925.228611031365,57600.16769989314,58283.10926471837,58974.14818758248,59673.380475538775,60380.90327395679,61096.81488001889,61821.214756376794,62554.20354497011,63295.88308100862,64046.35640712046,64805.727787667915,65574.10272323307,66351.58796527513
18,Louisiana,43207.2,41081.08590796156,39059.592368339494,37137.57127547526,35310.12784861886,33572.608166468024,31920.587315100373,30349.85811911502,28856.42042728547,27436.470925437687,26086.393450609972,24802.749781827893,23582.270884041238,22421.848582924114,21318.527649336495,20269.49827328886,19272.08890824349,18323.759467529115,17422.094855542306,16564.798817261675,15749.68809041148,14974.686845382092,14237.821398747516,13537.215186917,12871.083987120182,12237.731373555163,11635.544397127704,11062.98947777926,10518.608498942875,10001.015094180759,9508.89111654678,9040.98328168247,8596.099976097543,8173.108222506654,7770.930794494039,7388.54347315803,7024.972438748952,6679.2917906577595,6350.62118943958,6038.123614867161,5741.003234304682,5458.503375973352,5189.904601947349,4934.522875972618,4691.707821442553
19,Maine,6933.3,7029.0748249949465,7126.172658817264,7224.611777171005,7324.410708216104,7425.588236055733,7528.163404271845,7632.155519509538,7737.584155110945,7844.469154799322,7952.830636414015,8062.688995697041,8174.064910131951,8286.979342835746,8401.453546504537,8517.509067413721,8635.167749473407,8754.451738339865,8875.383485583776,8997.985752916045,9122.281616472008,9248.294471154803,9376.048035038752,9505.56635383356,9636.87380541019,9769.995104389254,9904.955306792779,10041.779814760246,10180.494381329765,10321.125115285296,10463.698486070838,10608.241328772483,10754.780849169312,10903.344628854049,11053.960630424453,11206.657202746424,11361.463086289816,11518.407418537945,11677.519739471838,11838.829997130233,12002.368553246379,12168.166188962707,12336.254110624444,12506.663955653254,12679.42779850201
20,Maryland,38250.7,39082.05319651258,39931.47529470151,40799.359009972424,41686.10559313573,42592.12501591791,43517.836160504725,44463.66701320406,45430.054862317884,46417.44650031483,47426.29843039685,48457.07707755546,49510.259004215164,50586.3311305637,51685.79095967109,52809.14680750142,53956.91803792383,55129.63530283128,56327.84078747814,57552.08846115004,58802.94433328184,60080.98671514218,61386.80648720552,62721.0073723354,64084.20621490508,65477.03326598474,66900.13247472698,68354.16178608545,69839.7934450041,71357.71430721793,72908.62615680858,74493.24603066196,76112.30654997766,77766.55625898349,79456.7599710118,81183.69912209749,82948.17213226126,84750.99477464509,86593.00055267065,88475.04108539497,90397.98650124161,92362.72584028922,94370.16746530365,96421.23948170355,98516.89016665361
21,Massachusetts,78399.9,79986.8748327378,81605.97329216062,83257.84562638211,84943.15524587191,86662.57898988866,88416.80739830634,90206.54498894278,92032.51054050194,93895.4373812435,95796.07368349569,97735.18276412977,99713.54339111659,101731.95009628855,103791.21349443252,105892.16060884186,108035.63520345821,110222.49812173656,112453.62763236968,114729.91978201068,117052.28875513536,119421.66724118902,121839.00680916494,124305.27828976524,126821.4721652973,129388.59896746266,132007.68968319785,134679.79616873033,137405.9915720157,140187.37076372604,143025.05077696225,145920.17125586703,148873.89491331877,151887.40799789017,154961.9207702589,158098.66798926186,161298.90940778828,164563.9302787105,167895.04187105605,171293.58199662797,174760.91554728503,178298.43504309762,181907.5611915995,185589.7434583598,189346.4606491047
22,Michigan,106985.6,111092.5363839276,115357.12881186137,119785.4293444831,124383.72236746231,129158.53350988969,134116.638905069,139265.07480681004,144611.14757486933,150162.44404370955,155926.84228929214,161912.52280918296,168127.98013183702,174582.03487153747,181283.8462460966,188242.92507508319,195469.14727702262,202972.76788472407,210764.43559862446,218855.20789880274,227256.5667371102,235980.43483168652,245039.19258698542,254445.69566332214,264213.29322087625,274355.84686404077,284887.7503130021,295823.94983046746,307179.965432529,318971.91291376454,331216.5267178328,343931.18368601904,357133.9277174344,370843.4953758641,385079.34247960534,399861.67171202914,415211.4612920496,431150.4947451878,447701.3918174797,464887.6405760998,482733.6307422552,501264.68830365443,520507.11145567114,540488.2079222082,561236.3337092256
23,Minnesota,59988.8,61351.58818959905,62745.33535236827,64170.74479497487,65628.53580136884,67119.44399574485,68644.22171374981,70203.63838212319,71798.48090696182,73429.55407080507,75097.68093874071,76803.70327373646,78548.4819614068,80332.89744442928,82157.8501668298,84024.26102836068,85933.0718492012,87885.24584521474,89881.7681140027,91923.64613200011,94011.91026286407,96147.6142774114,98331.8358853679,100565.6772791976,102850.26569028632,105186.75395776036,107576.3211102271,110020.1729607314,112519.54271522773,115075.69159487523,117689.90947246968,120363.51552333355,123097.85889099253,125894.31936797447,128754.30809207441,131679.26825843673,134670.67584781413,137730.04037137056,140858.90563240435,144058.85050537542,147331.48973263017,150678.47473922576,154101.49446626505,157602.27622316283,161182.58655927313
24,Mississippi,18783.5,18864.31790003563,18945.483527223605,19026.998377695018,19108.863954018205,19191.08176522646,19273.65332684584,19356.58016092311,19439.86379605379,19523.505767410337,19607.507616770443,19691.870892545456,19776.597149808917,19861.687950325228,19947.14486257844,20032.969461801164,20119.16333000361,20205.72805600274,20292.665235451568,20379.976470868565,20467.663371667197,20555.727554185592,20644.170641716337,20732.9942645364,20822.20005993718,20911.789672254683,21001.764752899842,21092.12696038895,21182.877960374226,21274.019425674538,21365.553036306217,21457.480479514037,21549.80344980231,21642.52364896613,21735.64278612272,21829.162577742973,21923.084747683053,22017.4110272162,22112.143155064623,22207.282877431568,22302.831948033487,22398.79212813238,22495.16518656825,22591.95289979172,22689.157051896756
25,Missouri,48604.4,48764.96238881247,48926.05518805488,49087.680149913576,49249.83903236316,49412.53359918563,49575.765619989535,49739.536870229276,49903.84913122437,50068.70419017884,50234.103840200645,50400.04988032122,50566.54411551498,50733.58835671903,50901.1844208528,51069.33413083782,51238.039315617585,51407.30181017739,51577.123455564346,51747.50609890735,51918.45159343724,52089.961798506876,52262.038579611435,52434.68380840866,52607.89936273923,52781.68712664717,52956.048990400384,53130.98685051117,53306.50260975688,53482.598177200576,53659.27546821186,53836.53640448764,54014.38291407307,54192.816931382506,54371.84039722057,54551.455258803224,54731.66346977898,54912.46699025013,55093.86778679407,55275.867832484706,55458.46910691389,55641.67359621298,55825.48329307441,56009.900196773386,56194.92631318964
26,Montana,3496.5,3496.9892549651213,3497.4785783902516,3497.9679702849703,3498.457430658858,3498.9469595214964,3499.4365568824696,3499.9262227513623,3500.41595713776,3500.9057600512506,3501.395631501423,3501.885571497867,3502.3755800501744,3502.865657167938,3503.3558028607517,3503.846017138211,3504.3363000099134,3504.8266514854563,3505.3170715744395,3505.8075602864637,3506.2981176311314,3506.7887436180463,3507.2794382568127,3507.7702015570376,3508.261033528328,3508.751934180293,3509.242903522543,3509.7339415646898,3510.225048316346,3510.716223787126,3511.207467986646,3511.698780924522,3512.190162610373,3512.6816130538186,3513.17313226448,3513.6647202519794,3514.1563770259404,3514.6481025959883,3515.1398969717497,3515.6317601628525,3516.1236921789255,3516.615693029599,3517.107762724505,3517.599901273277,3518.0921086855487
27,Nebraska,16130.8,16246.402379374325,16362.833230375414,16480.0984902966,16598.2041389812,16717.156199127443,16836.960736595604,16957.623860717318,17079.151724607127,17201.550525476254,17324.826504948614,17448.985949379112,17574.0351901742,17699.980604114753,17826.82861368124,17954.585687381234,18083.25834007927,18212.853133329063,18343.376675708114,18474.835623154697,18607.23667930729,18740.586595846406,18874.892172838892,19010.160259084707,19146.397752466153,19283.611600299635,19421.80879968993,19560.996397887004,19701.181492645377,19842.371232586065,19984.57281756112,20127.793499020783,20272.040580383262,20417.321417407165,20563.643418566604,20711.014045428972,20859.440813035457,21008.93129028425,21159.493100316522,21311.133920905162,21463.86148484629,21617.68358035359,21772.608051455467,21928.642798395038,22085.795778033007
28,Nevada,10439.1,10687.159119057334,10941.112743057385,11201.10094017685,11467.267106962545,11739.758047421807,12018.724053992268,12304.31899043569,12596.700376701547,12896.029475807196,13202.471382782525,13516.195115728153,13837.373709037402,14166.184308833452,14502.808270674326,14847.431259579585,15200.243352433916,15561.43914282407,15931.217848367007,16309.783420588406,16697.344657412184,17094.115318323027,17500.314242265486,17916.16546834464,18341.898359394923,18777.747728485236,19223.953968430145,19680.763184378604,20148.42732955328,20627.204344215435,21117.358297931914,21619.15953522278,22132.884824669894,22658.817511568675,23197.24767420728,23748.472283859326,24312.795368578474,24890.52818088517,25481.989369438026,26087.505154784576,26707.409509288274,27342.04434133103,27991.75968389286,28656.91388761263,29337.873818436467
29,New Hampshire,12135.2,12655.510503331689,13198.129911327269,13764.014743649745,14354.16253183067,14969.613577700675,15611.452787214675,16280.81158290445,16978.869898329773,17706.85825804393,18466.059946740093,19257.813271402352,20083.51392044901,20944.617424026852,21842.641719793304,22779.169828709462,23755.852645560757,24774.411849124368,25836.642937113396,26944.4183912477,28099.69097803075,29304.49719105106,30560.96084087618,31871.296798867505,33237.81490151537,34662.924022176994,36149.13631739479,37699.0716552804,39315.46223377077,41001.15739689715,42759.12865755716,44592.47493564388,46504.428020765714,48498.358269186574,50577.780545028836,52746.36041621214,55007.92061605013,57366.447781895484,59826.09948271204,62391.21154796202,65066.30571072769,67856.09757854052,70765.5049459687,73799.65646361637,76963.90067881595
30,New Jersey,74558.4,76473.38250912368,78437.55005990934,80452.16593717119,82518.52587234683,84637.95887686698,86811.82809692978,89041.53169022943,91328.50372520297,93674.21510337366,96080.17450538404,98547.92936132733,101079.06684600108,103675.21489972321,106338.04327536713,109069.26461228915,111870.63553783901,114743.95779716207,117691.07941201958,120713.89586937253,123814.35134049351,126994.43993139057,130256.20696534748,133601.75029840498,137033.22166862962,140552.82808003726,144162.83322206204,147865.5589254833,151663.38665574708,155558.75904464247,159554.18146131822,163652.22362364965,167855.5212509926,172166.77775938725,176588.7660003019,181124.3300440356,185776.38700892587,190547.9289375387,195442.02472104706,200461.8220730359,205610.54955400288,210891.51864785716,216308.12589175158,221863.85506061825,227562.27940781237
31,New Mexico,6488.5,6497.358878593445,6506.229852390702,6515.112937905594,6524.00815167449,6532.91551025634,6541.835030232697,6550.766728207757,6559.710620808385,6568.666724684146,6577.635056507338,6586.615632973021,6595.608470799051,6604.613586726107,6613.630997517726,6622.660719960333,6631.7027708632695,6640.7571670588295,6649.823925402287,6658.903062771929,6667.994596069088,6677.098542218171,6686.214918166692,6695.343740885304,6704.485027367832,6713.638794631302,6722.805059715972,6731.9838396853675,6741.17515162631,6750.379012648951,6759.5954398868025,6768.824450496768,6778.066061659177,6787.320290577815,6796.587154479958,6805.8666706164,6815.15885626149,6824.46372871316,6833.7813052929605,6843.111603346092,6852.454640241436,6861.810433371587,6871.179000152889,6880.560358025461,6889.9545244532355
32,New York,194980.4,201807.31851240943,208873.27036547812,216186.62491909266,223756.04457253203,231590.49502476072,239699.25589396912,248091.93170893978,256778.46328525813,265769.13949984265,275074.60947774095,284705.8952056263,294674.40458693536,304991.9449541096,315670.7370539462,326723.4295226226,338163.11386754084,350003.3399737358,362258.1321532155,374942.00575624255,388069.98436423193,401657.61758463056,415720.99946885474,430276.7875751017,445342.22269861423,460935.149292768,477074.03660516965,493778.0005538011,511066.8263691203,528960.9920289388,547481.6925138328,566650.8649118171,586491.2144020187,607026.2411481256,628280.268133466,650278.4699706862,673046.9027201532,696612.5347523987,721003.2786911619,746248.0244748642,772376.6735756786,799420.1744167223,827410.5590293249,856380.9809937908,886365.7547085943
33,North Carolina,116173.1,120259.3581826372,124489.34590279356,128868.11868536062,133400.90987763417,138093.13690401748,142950.40774072648,147978.5276182357,153183.50595947495,158571.56356206932,164149.1400332066,169922.90148601754,175899.7485066677,182086.82440168294,188491.52373536516,195121.5011675021,201984.68060193365,209089.2646569086,216443.74446855078,224056.90983915076,231937.85974241263,240096.01319821086,248541.12052985438,257283.2750173126,266332.9249603303,275700.88616584905,285398.3548746597,295436.9211427353,305828.5826932374,316585.75925575127,327721.30740988697,339248.53595098824,351181.22179631225,363533.62645069184,376320.5130513585,389557.16401229816,403259.3992892271,417443.595287018,432126.7044321735,447326.2754337394,463060.4742568726,479348.10583413107,496208.6365404336,513662.2174585514,531729.7084629368
34,North Dakota,4754.1,4829.555230842344,4906.208057835688,4984.077488761533,5063.182833085511,5143.543706745607,5225.180037016357,5308.112067450272,5392.3603628976725,5477.945814606208,5564.889645401303,5653.213414948835,5742.939025101334,5834.0887253290375,5926.685118237141,6020.751165170623,6116.31019190802,6213.385894445577,6312.002344873198,6412.18399734366,6513.9556941365645,6617.342671818538,6722.370567501203,6829.065425198471,6937.453702284737,7047.562276055581,7159.418450392588,7273.049962533963,7388.484989952591,7505.752157343278,7624.880543720879,7745.899689631095,7868.839604475703,7993.7307739540665,8120.604167622742,8249.491246575073,8380.423971242668,8513.434809320712,8648.556743819048,8785.823281241057,8925.268459892342,9066.92685832129,9210.833603893592,9357.024381502857,9505.535442419483
35,Ohio,119628.6,121162.64534815573,122716.36237290215,124290.0033320101,125883.82371805265,127498.0822998862,129133.04116466365,130788.96576038619,132466.12493900082,134164.7910000505,135885.23973488406,137627.75047143304,139392.60611956267,141180.0932170044,142990.5019758776,144824.12632980756,146681.263981648,148562.21645181524,150467.28912724243,152396.79131096145,154351.03627232052,156330.3412978459,158335.0277427559,160365.42108313504,162421.8509687779,164504.6512767101,166614.1601653957,168750.72012964002,170914.67805619605,173106.38528008433,175326.1976416347,177574.47554425983,179851.58401296934,182157.89275363449,184493.7762130126,186859.6136395415,189255.78914491323,191682.69176643764,194140.71553020543,196630.25951506136,199151.7279173977,201705.5301167786,204292.080742406,206911.79974043774,209565.11244216916
36,Oklahoma,20831.3,20723.724040312733,20616.70361902694,20510.235867258936,20404.317930940386,20298.94697074179,20194.12016199637,20089.83469462435,19986.087773057632,19882.87661616485,19780.198457176815,19678.050543612353,19576.430137204512,19475.334513827165,19374.76096342198,19274.706789925775,19175.16931119824,19076.145858950036,18977.63377867128,18879.63042956037,18782.133184453203,18685.139429752748,18588.646565358973,18492.65200459916,18397.153174158553,18302.147514011383,18207.632477352236,18113.605530527784,18020.064152968866,17927.005837122917,17834.42808838675,17742.328425039683,17650.704378177015,17559.553491643834,17468.873321969186,17378.661438300565,17288.915422338752,17199.63286827299,17110.81138271649,17022.44858464227,16934.542105319324,16847.08958824914,16760.088689102504,16673.537075656684,16587.43242773289
