,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
北京市,0.008405261607072587,0.008128701057764155,0.007889353823593402,0.007667190874508766,0.007961725211609472,0.00885909205599127,0.008598297936899795,0.0094404884150078,0.00925877007292089,0.009930186381089626,0.012366401146489753,0.01305355690314434,0.013429309373724708,0.014221125434366582,0.014011373434230109,0.014332682508082298,0.014661543687497279
天津市,0.001483179040117566,0.0013895661262615213,0.0012998509018643958,0.0012223816624299666,0.0011806382259611009,0.0013138124435916419,0.001205633494110606,0.001106932289478194,0.001054226132912298,0.001058833448899056,0.0013203500456029397,0.0013703507646586005,0.0014187136425324709,0.0015018651746849698,0.0014615975163745703,0.0014512690987583292,0.001441085628938702
河北省,0.014160483361996812,0.011277240347555709,0.010425388642129387,0.009552291043789119,0.009221880485096527,0.00905675480289835,0.00839225028732667,0.007418311146633377,0.007310463216319259,0.007264452304380967,0.00875861976577949,0.008952843284813425,0.008974765135725964,0.009135160475620978,0.008329102652760342,0.008444746018773866,0.008563645841692101
山西省,0.006298012713426842,0.005767677187096692,0.00520719224127765,0.005043640523133233,0.005132814429331751,0.006622867314385203,0.006181125653499232,0.005607236283089651,0.005371545994796381,0.005245361419012181,0.0058241275840311855,0.005886390099007412,0.006063123880861549,0.005163743656100968,0.0045463628538672685,0.00432452004450089,0.004123319898452098
内蒙古自治区,0.13983982574847756,0.11272724704516175,0.09597407288560482,0.08315802160393644,0.06972596801936637,0.06736416328078171,0.060881655179089125,0.048599947382703505,0.046690233585537776,0.04848230846980288,0.049708647598685124,0.049768289894994815,0.049325013234723714,0.046946403388749065,0.04093669473820369,0.03691460496574137,0.033612086327011126
辽宁省,0.027096662311635007,0.022474917079520835,0.020447392818368274,0.0187237095946087,0.01813786754188995,0.018697386365847665,0.017199736133466936,0.015856608328056843,0.015388179186690758,0.015937435921732846,0.01623507884874267,0.016862982108169323,0.01740749491053492,0.016785494826666737,0.016366566055352444,0.015793003589310406,0.015258280722629936
吉林省,0.08664097940196483,0.06976667331197658,0.06285145316512268,0.05927510308361472,0.05627948005216412,0.05636752381221927,0.050500180361755714,0.04401587457488052,0.04418202820706447,0.04648929758525719,0.048200506375465704,0.0517451506542714,0.05374066518085167,0.05362400277396894,0.05651109342045482,0.05533288116027244,0.054202795120839836
黑龙江省,0.16484038889386354,0.14398433511754907,0.13555683241147443,0.12445187885442961,0.11351754102080469,0.11396021266790135,0.10350165922836131,0.0959193391456191,0.09037969330056736,0.09751414888941452,0.09740541965123732,0.09782985254663105,0.09619103015327189,0.09284692644582508,0.09837605766500472,0.09278439169643009,0.087773885623355
上海市,0.0005476902254124877,0.0005123846968092745,0.0005042444140135179,0.0004782089378891179,0.0004675177060778967,0.0005358429650667373,0.0004915493558630876,0.0004754749385422352,0.0004913370973334528,0.0004916662921045923,0.0006924633127852798,0.0006941947376447708,0.0006876687416162118,0.000670481333024473,0.0006989637115763374,0.0007000806988543689,0.0007012012618762875
江苏省,0.005023530898548474,0.003896273869784251,0.0035255082723788726,0.003269437703679387,0.0031336133276594663,0.00458255685920172,0.004110970482469068,0.003494742145933499,0.0034138744610341257,0.003394047707650787,0.0033086053362748357,0.0032274377317970645,0.003116970027027226,0.0031377164988211277,0.003208450082199047,0.0031364379970839603,0.003067587503316759
浙江省,0.042561765966921565,0.03629536177769915,0.03127880546137332,0.027710145629148274,0.027152951252497014,0.027194875479503333,0.025710898020515623,0.024190231468332123,0.024705397158363212,0.024863841419925134,0.025170586704127893,0.02505820820033478,0.024959163372903347,0.02429109229284175,0.024388522013483526,0.02515196462190081,0.025964748407662202
安徽省,0.0303665749451336,0.028602872155913516,0.026589602754621043,0.02373807234447354,0.02058825912166426,0.01974106513851658,0.01862795538591846,0.017110875738665415,0.016477788254008873,0.015399597152912437,0.01576524834163079,0.015663832758490107,0.01549789945345047,0.015234529256522106,0.014609313082538503,0.014422364196709345,0.014240139461613328
福建省,0.11517761262512745,0.09057464803150188,0.08265860840510232,0.07274637529404922,0.0688236655408813,0.06425676714799156,0.06147822709456407,0.051489769698466754,0.052941553192059274,0.054165988367330865,0.053808288256342325,0.05741626868639965,0.06190013023367618,0.05711594815861755,0.05090717066173983,0.04943877476771601,0.04805271446043148
江西省,0.14905297886410362,0.13429062754407806,0.1236400081897137,0.11159173787430472,0.11008491790585906,0.10872386492934819,0.09252797084573947,0.08262104374676124,0.08331168812772868,0.07766521990215411,0.07714397397970223,0.07461542000162671,0.07543728384079909,0.07348484101350543,0.07110161444880365,0.0696741661955865,0.06830290530891463
山东省,0.008888617389464433,0.0062122374248964225,0.0055747546568107355,0.004965986951810589,0.004641189719065149,0.004513833572254001,0.004071481612153185,0.00385728878121733,0.003682635695474914,0.0038803327582072594,0.0038622960974296757,0.003660623885656474,0.0035116304203671378,0.0036558443272204887,0.0036524855122391803,0.0035936223490527714,0.003536626362617095
河南省,0.014999186553936221,0.012215495566704128,0.010733545044790568,0.009663120148486012,0.00935169980366783,0.009801815116393452,0.009058839780573126,0.008203158184425768,0.008872262900298683,0.009004124090447135,0.009939744171898137,0.009924981469128269,0.009949784696035262,0.010485660832313762,0.01096142640573708,0.011900913254470397,0.012994459674252406
湖北省,0.043837621490014717,0.03955877082191031,0.03546719413175165,0.03194743625825255,0.031881224624341446,0.03660223945571101,0.03176767878147851,0.027592603295984522,0.02742184586807299,0.03297346331958991,0.034014549468371694,0.03439004945558379,0.0341326149903204,0.033892361649890825,0.03460123625875319,0.03261511461836198,0.03084462369835807
湖南省,0.09607321477604126,0.06722150201200851,0.06196114669740545,0.05669757438776898,0.0569357737003647,0.05725466942389447,0.0538963963896061,0.04883837852418375,0.05049610197315691,0.052710339418975474,0.05579067102731231,0.05319943348686896,0.05256744977674588,0.049620402029022896,0.05384509435827912,0.053977010057683045,0.05410957370800642
广东省,0.046889060444491266,0.040658783508262325,0.03705630294413054,0.03404503186430832,0.033076203015842805,0.033071971800180365,0.03031706675913811,0.02715106273290587,0.02794020101904368,0.02871911220097286,0.029900985409115118,0.030127543978750677,0.02919471443684644,0.02779649733617022,0.027815975264119414,0.027805354595635153,0.027794742034401902
广西壮族自治区,0.20919836737783445,0.18416846109251656,0.16809871272692709,0.14794933894871828,0.14853758100145759,0.1440636502177771,0.12285824244115925,0.10960149248789279,0.10469825876400563,0.10326261394652794,0.11236135805647986,0.12049980249990866,0.11129281807488713,0.10832723151025812,0.10498962572204333,0.0985585226258751,0.09286981436901942
海南省,0.1487138016654482,0.18029872038057712,0.1632239511105458,0.1439654937041157,0.12333434690559197,0.12050903985364726,0.10425674976103708,0.08290857216826197,0.07748082629253644,0.07600668118397833,0.0787988336923747,0.07548504029287725,0.07938463439060445,0.07413712999994189,0.07315402311214242,0.07372335603285819,0.07430162031289383
