,北京市,天津市,河北省,山西省,辽宁省,上海市,江苏省,浙江省,安徽省,山东省,河南省,宁夏回族自治区
0,9056.913521399998,9190.371244,43206.7554376,51347.0590192,27634.2650762,15942.2664398,31300.4445828,20082.424955399998,17342.106558000003,41869.33205620001,32820.426809799996,6021.805218400001
1,9365.0543868,9809.512294799999,54253.392021800006,56068.39980980001,33316.9793842,17040.7577634,40356.185359400006,23549.661145000002,18411.450977,59907.63835080001,40299.609771200005,6754.8941616
2,9649.171428,10486.561174400002,58686.401294200004,62103.416873400005,36620.62717,17315.855679,44600.306779,27326.602099800002,19805.500043,66758.17967079999,45863.6640966,7421.365947800001
3,9928.763838800001,11151.153865400001,64050.450169,64117.263912200004,39991.8800928,18258.5953716,48093.5147726,30845.867157800003,22184.631121600003,74941.89505759999,50944.177132799996,8516.466147800002
4,9561.461301,11545.4215358,66345.3123784,63003.335685,41283.593414200004,18676.134372,50178.0960376,31478.84232,25578.674495400002,80186.43829,52640.66585060001,9372.836956000001
5,9708.959446,12423.4308174,70946.17282719999,62365.5474122,43593.9935428,18587.470862399998,51735.169313599996,32341.353012,28184.0552724,82494.2311318,53577.610092,10367.7991506
6,10003.4409288,13538.1590506,76563.7426794,66822.57709260001,47389.8979714,20262.391520200003,57669.9239294,34208.0260012,29868.187864600004,91456.93520719999,57971.86408200001,12383.046963600002
7,9111.0291882,14745.308412399998,86615.6836508,73661.73363260001,51404.0407404,20947.4037276,67838.8691068,36358.4395276,32516.352727800004,96535.4815572,64018.9810672,16928.3664036
8,9289.847876400001,15482.501799599999,87893.4853356,76893.83017480001,52968.8230564,20271.1449106,69445.8327938,35600.2804716,33765.652429999995,101113.7839286,59190.9678964,17201.694359600002
9,8661.727202200002,15415.132584799998,88450.1769132,78743.61983960001,51143.3422856,20257.572381799997,69851.5092954,35373.4184974,36129.728945200004,95962.190153,58324.1438284,18261.478216400003
10,8494.010485,15109.0099678,83941.2235216,80631.849616,51513.760684,18797.6673416,68954.484235,35153.2578442,36723.2031462,100920.33098120001,59324.5559244,18753.506514599998
11,8046.8750226,14557.719464599999,82120.1975854,79778.9768604,49595.614888,18750.783165200002,70688.63707340001,35310.9096,36960.9677546,106480.26475140001,59412.7969744,19287.853582
12,7821.723223200001,14061.4577896,81919.60997100001,77453.50230800001,48044.2459296,18928.728633799998,73193.8942376,35451.0330046,37356.7023866,110998.07036619999,59264.69034400001,18828.371718000002
13,7386.2185862,13282.938000200002,80481.263735,90943.743682,49824.564311999995,19413.9558536,72709.9387678,36426.032795600004,38002.514403400004,106619.4743572,56235.9319484,23618.1306804
14,7496.791195599999,13648.8888196,88269.9241624,103293.5985522,51099.90474920001,18622.8480598,71106.97335320001,36280.5144162,39628.8596342,106717.52131360001,53795.08899420001,26804.681187200003
15,7328.728655,13746.0254732,87061.1452216,108592.43908400001,52955.72572820001,18593.135079,72739.5774162,35179.284712,40142.545951800006,108465.5432986,49548.37468280001,29139.093137000003
16,7164.343894400001,13843.162126800002,85852.3662808,113891.27961580001,54811.546707199996,18563.4220982,74372.1814792,34078.0550078,40656.232269399996,110213.5652836,45378.640111400004,31473.5050868
