,北京市,天津市,河北省,山西省,辽宁省,上海市,江苏省,浙江省,安徽省,山东省,河南省,宁夏回族自治区
0,152.251455,27.261932,1223.657083,646.768861,1497.5926980000002,17.462847,314.477501,1709.486942,1053.240757,744.320946,984.559409,149.47261
1,152.251455,27.261932,1223.657083,646.768861,1497.5926980000002,17.462847,314.477501,1709.486942,1053.240757,744.320946,984.559409,149.47261
2,152.251455,27.261932,1223.657083,646.768861,1497.5926980000002,17.462847,314.477501,1709.486942,1053.240757,744.320946,984.559409,149.47261
3,152.251455,27.261932,1223.657083,646.768861,1497.5926980000002,17.462847,314.477501,1709.486942,1053.240757,744.320946,984.559409,149.47261
4,152.251455,27.261932,1223.657083,646.768861,1497.5926980000002,17.462847,314.477501,1709.486942,1053.240757,744.320946,984.559409,149.47261
5,172.02513100000002,32.644116000000004,1285.084183,826.0774910000001,1630.187481,19.919931,474.15871,1759.0381360000001,1112.766542,744.73046,1050.315657,180.77118
6,172.02513100000002,32.644116000000004,1285.084183,826.0774910000001,1630.187481,19.919931,474.15871,1759.0381360000001,1112.766542,744.73046,1050.315657,180.77118
7,172.02513100000002,32.644116000000004,1285.084183,826.0774910000001,1630.187481,19.919931,474.15871,1759.0381360000001,1112.766542,744.73046,1050.315657,180.77118
8,172.02513100000002,32.644116000000004,1285.084183,826.0774910000001,1630.187481,19.919931,474.15871,1759.0381360000001,1112.766542,744.73046,1050.315657,180.77118
9,172.02513100000002,32.644116000000004,1285.084183,826.0774910000001,1630.187481,19.919931,474.15871,1759.0381360000001,1112.766542,744.73046,1050.315657,180.77118
10,210.080682,39.898364,1470.418519,939.2203589999999,1672.6599330000001,26.03339,456.28634900000003,1769.6562490000001,1157.9008350000001,779.568401,1179.341818,191.88655999999997
11,210.080682,39.898364,1470.418519,939.2203589999999,1672.6599330000001,26.03339,456.28634900000003,1769.6562490000001,1157.9008350000001,779.568401,1179.341818,191.88655999999997
12,210.080682,39.898364,1470.418519,939.2203589999999,1672.6599330000001,26.03339,456.28634900000003,1769.6562490000001,1157.9008350000001,779.568401,1179.341818,191.88655999999997
13,210.080682,39.898364,1470.418519,939.2203589999999,1672.6599330000001,26.03339,456.28634900000003,1769.6562490000001,1157.9008350000001,779.568401,1179.341818,191.88655999999997
14,210.080682,39.898364,1470.418519,939.2203589999999,1672.6599330000001,26.03339,456.28634900000003,1769.6562490000001,1157.9008350000001,779.568401,1179.341818,191.88655999999997
15,210.080682,39.898364,1470.418519,939.2203589999999,1672.6599330000001,26.03339,456.28634900000003,1769.6562490000001,1157.9008350000001,779.568401,1179.341818,191.88655999999997
16,210.080682,39.898364,1470.418519,939.2203589999999,1672.6599330000001,26.03339,456.28634900000003,1769.6562490000001,1157.9008350000001,779.568401,1179.341818,191.88655999999997
